名稱	戰法	特性1	特性2	特性3	奉行特性	家宰特性	所屬	登場年	統率	武勇	智略	政務	合計	物慾	主義	出身	信仰	騎兵LV	鐵炮LV	AI LV	野心
大月景秀	治療	自衛			樂市奉行	重商主義	越前	1512	22	5	47	48	122	淡泊	革新	武士	佛教			B	8
山手殿	潛力	人脈			名門之悟	深謀遠慮	山城	1563	39	8	66	64	177	貪婪	保守	名門	佛教			B	5
明石長行	內訌	人脈			溫泉奉行	宴席交流	播磨	1501	32	10	69	84	195	貪婪	革新	武士	佛教			B	9
彥鶴	混亂	乾坤	破策		治水奉行	擴張農產	肥前	1555	53	15	74	60	202	貪婪	保守	武士	佛教			B	3
小早川繁平	治療	破策			武士之悟	勞民動眾	安藝	1543	26	16	46	52	140	普通	保守	武士	佛教			C	2
神保長住	攪亂	暗中活動			僧侶之悟	歸農主義	越中	1547	23	17	28	43	111	貪婪	中庸	僧侶	佛教			C	7
宇喜多興家	潛力	暗中活動			軍糧奉行	歸農主義	備前	1512	48	19	34	54	155	普通	中庸	武士	佛教			C	5
杰山云勝	混亂	自衛			僧侶之悟	積草屯糧	越后	1554	65	19	64	61	209	普通	保守	僧侶	佛教			A	5
佐竹義里	止步	工事			佐竹傳	練武練兵	長陸	1523	56	19	39	80	194	貪婪	中庸	武士	佛教			B	7
高島正重	潛力	工事			治水奉行	重農主義	土佐	1581	25	19	73	77	194	普通	保守	武士	佛教			B	4
松平乘壽	治療	破策			工事奉行	重視內治	上野	1614	44	19	40	63	166	普通	革新	武士	佛教			C	4
安藤良整	潛力	能吏			官吏之悟	重農主義	相模	1546	24	20	43	86	173	淡泊	革新	武士	佛教			B	4
加藤忠廣	潛力	修繕			加藤傳	固守城池	肥后	1611	37	20	38	36	131	貪婪	革新	武士	佛教			C	9
如春尼	潛力	雄辯			名門之悟	臥薪嚐膽	山城	1558	29	20	57	64	170	貪婪	革新	名門	一向宗			B	8
細川昭元	潛力	修繕			名門之悟	武斷主義	攝津	1558	29	20	38	38	125	淡泊	保守	名門	佛教			C	5
板部岡江雪齋	罵聲	雄辯	能吏		掘金奉行	宴席交流	相模	1551	23	21	58	76	178	貪婪	革新	僧侶	佛教			B	7
江戶通政	潛力	修繕			庶民之悟	勞民動眾	長陸	1552	25	21	58	49	153	淡泊	保守	武士	佛教			C	5
大久保長安	治療	防災	能吏	破策	掘金奉行	能人之治	甲斐	1559	20	21	65	89	195	貪婪	革新	庶民	佛教			A	13
林羅山	治療	人脈	能吏	破策	南蠻奉行	年功加俸	山城	1597	57	21	82	80	240	貪婪	革新	武士	佛教			A	11
牧野久仲	治療	能吏			溫泉奉行	臥薪嚐膽	羽前	1546	26	21	68	76	191	貪婪	保守	武士	佛教			C	12
西鄉局	警戒	盡心盡力			守城奉行	重農主義	三河	1567	30	21	70	44	165	普通	中庸	武士	佛教			C	6
赤川元保	混亂	修繕			溫泉奉行	重視內治	安藝	1523	29	22	53	75	179	貪婪	保守	武士	佛教			C	8
麻生隆守	罵聲	破策			武士之悟	交易主義	筑前	1522	23	22	35	40	120	普通	保守	武士	佛教			C	13
鵜殿氏長	罵聲	雄辯			寺社奉行	重農主義	三河	1560	28	22	44	42	136	貪婪	中庸	名門	佛教			C	8
佐野弘綱	潛力	用兵			武士之悟	常備兵訓練	下野	1531	35	22	35	46	138	普通	保守	武士	佛教			C	5
斯波義統	潛力	雄辯			名門之悟	加征米稅	尾張	1527	33	22	42	40	137	貪婪	保守	名門	佛教			C	10
最上義俊	攪亂	防災			最上傳	補給鐵炮	羽前	1620	19	22	35	28	104	淡泊	中庸	武士	佛教			C	6
喜連川賴氏	治療	暗中活動			名門之悟	武斷主義	下總	1593	15	23	37	57	132	貪婪	保守	名門	佛教			C	1
足利賴氏																					
蘆名氏方	罵聲	盡心盡力			工事奉行	購買糧食	巖代	1531	39	23	29	33	124	淡泊	中庸	武士	佛教			C	14
一條兼定	內訌	暗中活動			國司之教	加征米稅	土佐	1551	18	23	25	43	109	貪婪	保守	名門	佛教			C	6
織田秀雄	止步	暗中活動			織田傳	重商主義	伊勢	1597	42	23	33	53	151	普通	革新	武士	佛教			C	8
織田有樂	治療	風雅			織田傳	宴席交流	尾張	1561	30	23	44	61	158	普通	革新	武士	佛教			C	6
織田長益																					
島村盛實	潛力	攻城			守城奉行	購買糧食	備前	1509	29	23	57	39	148	貪婪	中庸	武士	佛教			C	13
