MM       DD      Description        Progress
4       27       將各系統改名成各模組      Ongoing
4       27       整理各模組功能，務必要把功能與資料接口整理得非常乾淨      Ongoing
4       27       設計data flow     Ongoing
4       27       設計系統架構：玩家的命令叫做系統，系統調用的功能叫做模組    Ongoing
4       27       研究信長野望各代各系統     Ongoing
4       29       撰寫PM001.專案章程（Project Charter）      Done
4       29       撰寫PM002.開發藍圖與里程碑（30週計畫、7個Phase、Sprint分解）      Done
4       29       撰寫PM003.風險管理計畫（12項風險、評估矩陣、應對措施）      Done
4       29       撰寫PM004.完成定義與驗收標準（DoD三層、各模組AC、Bug分級）      Done
4       29       撰寫PM005.技術架構說明（三層架構、資料結構、DataFlow、Git規範）      Done
4       29       建立文件瀏覽器伺服器（server.py，Port 5000，戰國風格UI）      Done
4       29       建立replit.md專案說明文件      Done
4       29       PM002新增Section 2「MVP總覽」（功能範圍、排除清單、M3通過條件），版本更新至v1.1      Done
4       29       撰寫PM006.MVP_SRS（BA/SA/Architect/Programmer四角色合撰，含Use Case/系統規格/架構/實作規格）      Done
4       29       撰寫PM007.MVP劇本_永祿三年（編劇撰寫，含世界觀/開場白/雙方勢力介紹/勝負條件）      Done
4       29       撰寫PM008.MVP初始資料（地圖8郡/武將8名/NPC AI規格/初始資源/數值-文字對照表）      Done
4       29       【待辦-未來版本】地形模組尚未存在，MVP略過地形係數，待後續新增地形模組      Backlog
4       29       【待辦-未來版本】UI/UX Wireframe（地圖畫面/郡詳情/戰報介面），MVP略過      Backlog
4       29       【待辦-未來版本】音效/音樂規格，MVP採靜音版，正式版再補      Backlog
4       29       【待辦-未來版本】事件系統規格，MVP不實作隨機事件，列入Phase 4後處理      Backlog
4       30       Senior PM 審查 0000~0010 共11份文件，輸出 REVIEW_0000_to_0010_20260430.md，發現2項Critical/5項Major/2項Minor問題      Done
4       30       刪除文件瀏覽器（server.py）      Done
4       30       [C-01] 0009.武將評價模組重新編號為0011（原0010為派系思想模組）      Done
4       30       [C-02] 武將屬性統一為四面向（軍事/智謀/政治/魅力，方案A），更新0000/0001/0006      Done
4       30       [M-01] 忍者任務統一為六種（以0008為準），更新0000/0001      Done
4       30       [M-02] 0007評議模組補充自動觸發條件與主動召開說明，版本升至v1.1      Done
4       30       [M-03] 統一「滿意度」→「忠誠度」，更新0004/0007，確認為唯一屬性      Done
4       30       [M-04] 0001系統概覽補充評議/武將評價/戰後處置三個新模組，版本升至v1.4      Done
4       30       [M-05] PM008岡崎城兵力修正：Lv2→Lv3（支援1500兵力上限）      Done
4       30       [m-01] 0000文件日期從2024修正為2026，版本升至v1.1      Done
4       30       [m-02] 0006野戰欄位補充「地形模組Phase 4後實作，MVP略過」標注      Done
4       30       建立 00.Documentation/0050.SRS/ 資料夾      Done
4       30       SA+PG 撰寫 SRS_0002.核心系統（CoreSystem）— GDScript 介面/訊號/資料模型      Done
4       30       SA+PG 撰寫 SRS_0003.家臣團模組（RetainerSystem）— GDScript 介面/訊號/資料模型      Done
4       30       SA+PG 撰寫 SRS_0004.封建權謀模組（IntrigueSystem）— GDScript 介面/訊號/資料模型      Done
4       30       SA+PG 撰寫 SRS_0005.領國模組（TerritorySystem）— GDScript 介面/訊號/資料模型      Done
4       30       SA+PG 撰寫 SRS_0006.戰爭軍備模組（MilitarySystem）— GDScript 介面/訊號/資料模型      Done
4       30       SA+PG 撰寫 SRS_0007.評議模組（CouncilSystem）— GDScript 介面/訊號/資料模型      Done
4       30       SA+PG 撰寫 SRS_0008.情報模組（IntelligenceSystem）— GDScript 介面/訊號/資料模型      Done
4       30       SA+PG 撰寫 SRS_0009.戰後處置模組（PostWarSystem）— GDScript 介面/訊號/資料模型      Done
4       30       SA+PG 撰寫 SRS_0010.派系思想模組（FactionSystem）— GDScript 介面/訊號/資料模型      Done
4       30       SA+PG 撰寫 SRS_0011.武將評價模組（RetainerEvalSystem）— GDScript 介面/訊號/資料模型      Done
4       30       建立 00.Documentation/0.對話/ 資料夾，建立第一封往來信件 20260430.任務交辦與回覆.md      Done
4       30       PM005 合併至 0000 §2（v2.0）：技術選型/三層架構/場景樹/資料結構/Command Pattern/資料流/存檔/效能/命名規範     Done
4       30       0000 §2.2 三層架構補全三個缺漏模組（PostWarModule / FactionModule / RetainerEvalModule）      Done
4       30       PM005 標注「已合併至 0000 v2.0，保留存查」       Done
4       30       建立 MVP Webapp（Python Flask）：4 頁面（地圖/家臣/政務/評議），mock data 對應 PM008      Done
4       30       Webapp 啟動：python3 webapp/app.py（port 5000）      Done
4       30       刪除 PM005.技術架構說明.md（已合併至 0000 v2.0，原始文件不再保留）      Done
4       30       所有 MVP 代碼遷移至 00.Documentation/0050.MVP/webapp/，刪除舊 webapp/ 目錄      Done
4       30       Workflow 更新：指令改為 python3 '00.Documentation/0050.MVP/webapp/app.py'      Done
4       30       Webapp 互動功能重構：依 PM006 UC-004/010/011/012/022 實作回合結算/郡詳情/設施升級/年貢調整/野戰      Done
4       30       新增 game/logic.py（回合結算/資源計算/戰鬥公式）、data/initial.py（PM008 初始資料）      Done
